COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC	KIN001-055
CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2	ZLN005
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C=C(C=C3)Cl)F)OC	690206-97-4
CC1=CC(=C(C=C1O)NC2=NC=NC3=C2C=CC(=C3)OCC4=CC=CC=C4)F.Cl	ZM 323881 hydrochloride
CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3.Cl	ZM 39923 hydrochloride
C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N	zonisamide
C1=CC2=C(C=C1Cl)N=C(O2)N	Zoxazolamine
C1CN(CC1C(=O)NC2=CC3=C(C=C2)NN=C3C4=CC=NC=C4)CC(=O)N5CCN(CC5)C6=CC=C(C=C6)C7=NC=CC=N7	SCH772984
CCOC1C(CC(=O)O1)NC(=O)C2CCCN3N2C(=O)C(CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54	Pralnacasan
CCCNC(=O)C1C(O1)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)OC	147859-80-1
C1=CC=C(C=C1)CC(C(=O)NCC2=CC=CC=C2)NC(=O)C3C(O3)C(=O)NCCC4=CC=C(C=C4)O	CAA0225
CC(C)CC(C(=O)C=O)NC(=O)C(CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2.O	C24H28N2O5.H2O
CCC(C(=O)C(=O)NC1CC1)NC(=O)C(CS(=O)(=O)CC2CC2)NC(C3=CC=C(C=C3)F)C(F)(F)F	VBY-825
CCCCOC(=O)NS(=O)(=O)C1=C(C=C(S1)CC(C)C)C2=CC=C(C=C2)CN3C=CN=C3	AT2 Agonist C21
COC1C(OC(CO1)C(CO)O)OC2=CC(=C3C(=C2)OC4(C3(C(C(C4C5=CC=CC=C5)C(=O)OC)O)O)C6=CC=C(C=C6)OC)OC	Episilvestrol
C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)C(=NNC5=NC6=CC=CC=C6S5)C1	WEHI-539
CC1=C(C=CC(=C1Cl)OCCN2CCN(CC2)C)C3=C(SC4=NC=NC(=C34)OC(CC5=CC=CC=C5OCC6=CC=NN6CC(F)(F)F)C(=O)O)C7=CC=C(O7)F	S63845
CC1=NN(C(=C1C2=CC=CC3=C2N(C(=C3CCCOC4=CC=CC5=CC=CC=C54)C(=O)O)CCN6CCOCC6)COC7=CC=C(C=C7)N8CCN(CC8)S(=O)(=O)N(C)C)C	A-1210477
CC1CN(C(=O)C2=C(C3=C(N12)C(=C(C=C3)Cl)C4=C(N(N=C4C)C)C)CCCOC5=CC(=C(C(=C5)C)Cl)C)C6=CN(C7=C6C=C(C=C7)C(=O)O)C	VU0661013
CCOC1=C(C=CC(=C1)C(C)(C)C)C2=NC(C(N2C(=O)N3CCN(CC3)CC(=O)N4CCOCC4)(C)C5=CC=C(C=C5)Cl)(C)C6=CC=C(C=C6)Cl	939981-37-0
CC(C)C(CS(=O)(=O)C(C)C)N1C(C(CC(C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl	AMG-232
CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(C4C3C=CC4)C5=CC=C(C=C5)C(=O)O)C	MX69
CC1(CCC2(CC1)C3(C(C(N2)C(=O)NC4CCC(OC4)C(=O)N)C5=C(C(=NC=C5)Cl)F)C6=C(C=C(C=C6)Cl)NC3=O)C	Milademetan
CC(C)(C)CC1C2(C(C(N1)C(=O)NC3CCC(CC3)O)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O	SAR405838
CC(C)OC1=C(C=C2CC(=O)N(C(C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)N(C)CC5CCC(CC5)N6CCN(C(=O)C6)C)OC	NVP-CGM097
CC(C)(C)CC1C(C(C(N1)C(=O)NC2=C(C=C(C=C2)C(=O)O)OC)C3=C(C(=CC=C3)Cl)F)(C#N)C4=C(C=C(C=C4)Cl)F	4-[[(2R,3S,4R,5S)-3-(3-chloro-2-fluoro-phenyl)-4-(4-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethylpropyl)pyrrolidine-2-carbonyl]amino]-3-methoxy-benzoic acid
CC(C)(C)CC1C2(C(C(N1)C(=O)NC3=C(C=C(C=C3)C(=O)N)OC)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O	RO8994
CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C(=O)NC3=C(N=C(S3)C4=NC=CO4)C5=CC=CC=C5)NC	CUDC-427
CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C3=NC(=CS3)C(=O)C4=CC=C(C=C4)F)NC	LCL161
CC1CN(C(CN1)CN2CCOCC2C)CC(=O)N3CC(C4=C3C=C(C=N4)CC5=CC=C(C=C5)F)(C)C	AT-IAP
C=CCC1=CC=CC(=C1O)C=NNC(=O)CN2CCN(CC2)CC3=CC=CC=C3	PAC-1
CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O	(R)-Etodolac
CN1C(=O)C(NC1=O)CC2=CNC3=C2C=CC=C3Cl	Necrostatin 2 S enantiomer
CC1=C(C(=CC=C1)C)NC2=NN(C3=NC(=NC=C23)NC4=CC(=C(C=C4)OCCN5CCCC5)F)CCC(C)(C)OC	CHEMBL502156
C1=CC(=CC=C1CCCC2=CC=C(O2)C(=O)O)OCCC3=CC=C(C=C3)F	849727-81-7
CC1N=C(NC(=N1)N(C)C)N	Imeglimin
C1CN(C1)CC(C2=CC(=C(C=C2)Cl)C(F)(F)F)NC3=NC=NC4=C3C=CC=C4C(=O)N	M2698
C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br	h-89
C1CC(C1)(C2=CC=C(C=C2)C3=C(N4C(=N3)C=CC(=N4)C(=O)N)C5=CC=CC=C5)N	BAY1125976
C1CC(C1)(C2=CC=C(C=C2)N3C4=C(C=CC(=N4)C5=CC=CC=C5)N=C3C6=C(N=CC=C6)N)N	miransertib
CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)NC(CC3=CC(=CC=C3)F)CN)Cl	Afuresertib
C1=CC(=CC=C1C2=CNN=C2)C(CN)(C3=CC=C(C=C3)Cl)O	AT13148
CC1=CC(=C(C2=C1NC(=O)C3=C2C=CS3)C4=CC=C(C=C4)C(C)CN)O	SCHEMBL2547935
CN(C)C[C@@H]1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O.CS(=O)(=O)O	Ruboxistaurin mesylate
CC1(CCN(CC1)C2=C(N=CC=C2)NC(=O)C3=NC(=CN=C3N)C4=C(C=CC=N4)C(F)(F)F)N	LXS196
CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C	Ingenol mebutate
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=C4C=CC(=C5)[N+](=O)[O-])C	MKC-1
CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3	Endoxifen
CC1=CC=CC(=N1)C2=C(N=C(N2)CNC3=CC=CC=C3F)C4=CN5C(=NC=N5)C=C4	vactosertib
CC1CNC(=O)C2=C3N=C(C=CN3N=C2)NC(C4=C(O1)C=CC(=C4)F)C	Repotrectinib
CC(C)NC(=O)C1CCC(CC1)N2C3=C(C=CC(=C3)CN4CCC(CC4)C(C)(C)O)N=C2NC(=O)C5=CC=C(C=C5)F	Belizatinib
CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=NC=C3Cl)NC4=C(C=C(C=C4)N5CCN(CC5)C(=O)C)OC)OC	KRCA-0008
CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C4=C(CC(CCC4)N5CCN(CC5)CCO)C=C3)OC	CHEMBL3972653
CC1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C	Lorlatinib
COC1=C(C=CC2=C1CCC(CC2)N3CCOCC3)NC4=NC=C(C(=N4)NC5C6CC(C5C(=O)N)C=C6)Cl	CEP28122
CC1=C(SC(=N1)C(C)(CO)O)C2=CC(=C(N=C2)N)OC(C)C3=C(C=CC(=C3)F)N4N=CC=N4	compound 8e [PMID: 24432909]
CC1=C(C=C(C=N1)C2=CC=C(C=C2)N3CCNCC3)C4=CC(=C(C(=C4)OC)OC)OC	LDN-214117
CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=CC(=NN=C2N)C(=O)NC3=CC=C(C=C3)C(=O)N4CCN(CC4)C	X-396
C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=C6C=CC=NC6=CC=C5)N=C3	LDN-212854
COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=C5C=CC=NC5=CC=C4)N=C2	ML347
CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4CCOCC4)C5=CN=C(C=C5)OCCCN(C)C	AZD0156
CC1COCCN1C2=NC3=C(C=CN=C3C4=CC=NN4)C(=C2)C5=CC=NN5C	BAY-1895344
CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=C5C=CNC5=NC=C4	AZD6738
CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=C5C=CNC5=NC=C4	AZD6738
CC1=C(C=C(C(=C1)F)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)N4C=C(N=C4)C5CC5	Selonsertib
CCNC(=O)C#CC1=CC2=C(C=C1)C(=C(N2)O)C(=NC3=CC=C(C=C3)CN(C)C)C4=CC=CC=C4	BI-847325
CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)/C=C/C4=CC=CC=C4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	ENMD-2076 L-(+)-Tartaric acid
CCC1=NC(=C(N=C1NC2CCOCC2)NC3=CC(=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC)C(=O)N	Gilteritinib
CN1CCN(CC1)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)N(C)C)Cl	TP-0903
CC1=CNC2=NC(=NC(=C12)C3=CC(=CC=C3)CC#N)NC4=CC(=C(C=C4)N5CCN(CC5)C)F	SGI-7079
CC1=C(C=C(C=N1)NC(=O)C2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O	Flumatinib mesylate
CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)N3CC4=CN=C(N=C4N(C3=O)C)NC5=CN=C(C=C5)C	GNF-7
CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)CN3CCC(C3)N(C)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CN=C5	Bafetinib
C1CN(CC1O)C2=NC=C(C=C2C3=CC=NN3)C(=O)NC4=CC=C(C=C4)OC(F)(F)Cl	asciminib
CCNC(=O)C1CC(CCC1C(C)C)C	39711-79-0
CC#CC(=O)N1CCC(C1)N2C3=C(C(=NC=N3)N)N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5.Cl	1439901-97-9
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5	Acalabrutinib
C=CC(=O)N1CCC(CC1)C2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N	BGB-3111
C=CC(=O)N1CCC(CC1)CNC2=NC=NC(=C2C3=CC=C(C=C3)OC4=CC=CC=C4)N	Evobrutinib
C=CC(=O)N1CCCC(C1)N2C3=C(C(=NC=N3)N)N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5	ONO-4059 analog
CC1CN(CCN1C2=CN=C(C=C2)NC3=CC(=CN(C3=O)C)C4=C(C(=NC=C4)N5CCN6C7=C(CC(C7)(C)C)C=C6C5=O)CO)C8COC8	Fenebrutinib
CC1=C(C=CC=C1NC(=O)C2=CC3=C(S2)CCCC3)C4=CN(C(=O)C(=N4)NC5=CC=C(C=C5)C6C(=O)N(CCN6C)C)C	GDC-0834 Racemate
CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C(C)(C)C)C3=CN(C(=O)C(=N3)NC4=CC=C(C=C4)C(=O)N5CCOCC5)C	CGI-1746
CN1C=C(C=N1)C2=CC3=C4C(=CN=C3C=C2)C=CC(=O)N4C5=CC6=C(CCN6C(=O)C=C)C=C5	QL47
C1CC(CN(C1)C#N)N2C(=C(C(=N2)C3=CC=C(C=C3)OC4=C(C=C(C=C4)F)F)C(=O)N)N	SCHEMBL15691525
CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO	Withaferin A
CC(C)OC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)C4=C(C(=O)C5=C(O4)C=CC(=C5)F)C6=CC(=CC=C6)F)F	Umbralisib
C1CCC(CC1)N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F.Cl.Cl	950912-80-8
C1COCCC1N2C3=C(C(=N2)COC4=CC(=CC=C4)Cl)C(=NC=N3)N	PF-4800567
C1CN(CCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F)CC5=NOC=C5	PF-5006739
CN1CCN(CC1)C2=CC(=CC(=C2Cl)NC3=NN4C(=CN=C4C(=C3)NC5CC5)C#N)NC(=O)OC	BMS-595
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl.[Cl-]	calmidazolium chloride
CN(C/C=C/C1=CC=C(C=C1)Cl)CC2=CC=CC=C2N(CCO)S(=O)(=O)C3=CC=C(C=C3)OC	kn-93
CC(C)N1C=NC2=C1N=C(N=C2NCC3=CC=C(C=C3)OC)N(CCO)CCO	CVT-313
CS(=O)(=O)N1CCC(CC1)NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl	NVP-LCQ195
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1	SB1317
C1=CN(C(=O)N=C1N)C2C(C(C(=C2F)CO)O)O	RX-3117
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC	7-Hydroxystaurosporine
CN1CCC(C1CO)C2=C(C=C(C3=C2OC(=CC3=O)C4=C(C=C(C=C4)C(F)(F)F)Cl)O)O	Voruciclib
CN1CCC(C1CO)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O	riviciclib
CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54	bisindolylmaleimide i
CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5	Ribociclib
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	Abemaciclib
CC1CCC(CC1)N2C3=C(C=CN=C3)C4=CN=C(N=C42)NC5=NC6=C(CN(CC6)C(=O)CO)C=C5	AMG 925
C1COCCN1C2=NC3=C(C(=N2)NCC4=NC5=C(N4)C=CC(=C5F)F)N=CN3C6=CC(=CC=C6)F	SR-3029
CN(C)CC=CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)C4=CNC5=CC=CC=C54)Cl	THZ1
CC(C)C1=C2C=C(C=CC2=NN1C)C3=NC(=NC=C3)NC4CCC(CC4)NC5CCOCC5	LY2857785
CN(C)CC=CC(=O)NC1=CC=CC(=C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)C4=CNC5=CC=CC=C54)Cl	THZ2
COC1=C(C=CC(=C1)F)C2=NC(=NC=N2)NC3=CC=CC(=C3)CS(=N)(=O)C	Atuveciclib
CC1=C(C=NN1)C2=CC3=C(S2)C(=O)NC(=N3)C4CC5CCN4CC5	Simurosertib
C1CC(NC1)C2=NC3=C(C(=O)N2)OC4=C3C=C(C=C4)Cl.Cl	1169562-71-3
CC1(C2=C(C=C(C=C2)C3=CNN=C3)C(=O)N1)C4=NC=NC=C4F	1627696-51-8
CC1=C2C=C(C=NC2=NN1)C(=O)N3CCCC3C4=CC=C(C=C4)Cl	MSC2530818
CN1CCN(CC1)C(=O)C2=CC3=C(C=C2)C=C(C=C3)CCNC4=NC=NC5=C4C=C(C=C5)C#N	Senexin B
CN1C=C(C=N1)C2=CC=C(C=C2)C3=CN=CC(=C3N4CCC5(CCNC5=O)CC4)Cl	CCT251545
CN1C2=C(C=C(C=C2)C3=CN=C(C(=C3N4CCC5(CCNC5=O)CC4)Cl)N)C=N1	1607837-31-9
CN(C)CC=CC(=O)NC1=CC=C(C=C1)C(=O)N2CCCC(C2)NC3=NC=C(C(=N3)C4=CNC5=CC=CC=C54)Cl	THZ531
COCCN1CCN(CC1)CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6.Cl.Cl	RGB-286638
CC(C)(C1CNCC1NC2=NC(=NC3=CC(=C(C=C32)OC)OC)C4=C(C=CC(=C4)F)O)O	CCT241533
CC(CN(C)C)OC1=NC(=CN=C1C#N)NC2=NC=C(C(=C2)OC)C3=CN(N=C3)C	CCT-244747
CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4	MK-8776
CC(CN(C)C)OC1=NC(=CN=C1C#N)NC2=NC=C3C(=C2)C=CC=C3Cl	SAR-020106
COC1=C(C(=CC=C1)OCCCN)C2=CC(=NN2)NC3=NC=C(N=C3)C#N	Prexasertib
C1=CC(=CC(=C1)Cl)C2=NC3=C(N=C2N)N=C(N=C3N)N	Epiblastin A
C1=CC2=C(NC=C2CC3=CN=C(C=C3)NCC4=CC=C(C=C4)C(F)(F)F)N=C1	PLX647
CCCCN1C2=C(C=CC=N2)C(=C(C1=O)NC(=O)NC3=C(C=CC(=C3C(C)C)N)C(C)C)C4=CC(=CC=C4)OCCO.Cl	compound 22d [PMID: 16242323]
C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NCC4=CC(=CC(=C4)Cl)Cl	ML315
CCOC(=O)C1=C(C2=C(N1C)C(=C(C=C2)Cl)Cl)C(=CN)C#N	CHEMBL3185999
CNC(=O)C1=CC=CC2=C1C=CC(=C2)OC3=C4C=C(C(=CC4=NC=C3)OCC5(CC5)N)OC	Lucitanib
CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)N=C(S3)NC4CCCCC4O	BLZ945
C1=CC(=NC=C1CC2=CNC3=NC=C(C=C23)Cl)NCC4=CN=C(C=C4)C(F)(F)F	Pexidartinib
CCN1C(=O)CNC2=NC=C(N=C21)C3=C(N=C(C=C3)C4=NC=NN4)C	cc-115
CC1=NC=C(C=N1)C2=CC(=NC=N2)NCC(C)C3=CC=CC4=C(C=CN=C43)C(=O)NC	VX-984
C1CN(CCC1C2=CC(=NC(=C2)NC3=NC=CC(=C3)C#N)N4CCC(C4)(F)F)C5COC5	GNE-3511
CCC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)CN3CCN(CC3)C)C#CC4=CN5C(=CC=N5)N=C4	1429617-90-2
CC(C1=CC=C(C=C1)F)C(=O)NC2=CC=C(C=C2)C3=CN4C(=NC(=N4)NC5=C(C=C(C=C5)S(=O)(=O)C)OC)C=C3	Empesertib
CC1=C(C=CC(=C1)C2=C3N=C(C=C(N3N=C2)NCC4CC(C4)(C)O)OC5=CN=CC=C5)C(=O)NC6CC6	CFI-402257
CC1=C(C=CC(=C1)C2=CN=C3N2N=C(C=C3NCCC(F)(F)F)OC4=C(C(=C(C=C4)OC)F)F)C(=O)NC5CC5	1554458-53-5
CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC4=C(C=CN4)C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)F	Avitinib
CN1CC2CC(CC2C1)COC3=C(C=C4C(=C3)N=CN=C4NC5=C(C(=C(C=C5)Cl)Cl)F)OC	Tesevatinib
C1COCCN1CCON=CC2=C(N=CN=C2NC3=CC(=C(C=C3)OCC4=CC=CC=C4)Cl)N.Cl	944341-54-2
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4.Cl	Icotinib Hydrochloride
COC1=C(C=CC(=C1)NC2CN(C2)CCF)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)C(F)(F)F	CNX-2006
COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C	Poziotinib
CC(C1=CC=CC=C1)NC2=NC=NC3=C2C=C(N3)C4=CC=C(C=C4)O	PKI-166
CC1CN(CCN1C(=O)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC)C	AZD3759
CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC	osimertinib
CCC1=NC(=C(N=C1OC2CCN(C2)C(=O)C=C)NC3=CC=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)C(=O)N.CS(=O)(=O)O	Naquotinib mesylate
CN1C=C(C(=N1)OC)NC2=NC(=NC3=C2N=CN3C)N4CC(C(C4)F)NC(=O)C=C	Mavelertinib
C1C2=CC=CC=C2C(=O)N1C(C3=C(C=CC(=C3)F)O)C(=O)NC4=NC=CS4	EAI045
CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5	Irbinitinib
CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)N4CCCC4	PF-956980
CC1=NC2=C(N1)C=C(C=C2)N3C(=C(C=N3)C(=O)C4=CC5=CC=CC=C5N4)N	1265229-25-1
CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC	Erdafitinib
CC1=CNC(=C1CCC(=O)O)C=C2C3=CC=CC=C3NC2=O	su5402
CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)OC(=O)C(C)N)C	SCHEMBL2263525
CC1=C(C(=CC=C1)NC(=O)C=C)NC2=NC=C3C=C(C=CC3=N2)C4=C(C(=CC(=C4Cl)OC)OC)Cl	BLU9931
COCCNCCC1=CC(=CC=C1)NC2=NC=C3CC(C4=CC=CC=C4C3=N2)C5=CC=CC=C5F	Derazantinib
CC(C1=C(C=NC=C1Cl)Cl)OC2=CC3=C(C=C2)NN=C3C=CC4=CN(N=C4)CCO	LY2874455
COCC1=C(N2C(=C1C3=CC(=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F)F)C(=NC=N2)N)CN5CCOCC5	ACTB-1003
COC1=CC(=C(C(=C1Cl)C2=CC3=CN=C(N=C3C=C2)NC4COCCC4NC(=O)C=C)Cl)OC	BLU-554
CN1CCN(C(=O)C1)CC2=C(N=C3C(=C2)CCCN3C(=O)NC4=NC=C(C(=C4)NCCOC)C#N)C=O	FGF401
CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F	AST 487
CC1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)SC3=NC=NC4=C3C=CC(=C4)OCCCN5CCOCC5	FLT3-IN-1
CCCCNC1=NC=C2C(=CN(C2=N1)C3CCC(CC3)O)C4=CC=C(C=C4)CN5CCN(CC5)C	UNC2025
CC(C)N1C(=O)CCN(C2=NC(=NC=C21)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)C5CCCC5	MLS002232309
CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C	717906-29-1
CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)Cl)C(C)C	GSK2256098
CNC(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=NC=CN=C3N(C)S(=O)(=O)C)C(F)(F)F	Defactinib
C1CC1C2=CN3C(=CN=C3C(=N2)NC4=C(C=C(C=C4)C(=O)N5CCOCC5)F)C6=CNN=C6.Cl	BRK inhibitor P21d (hydrochloride)
C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7	LY2090314
C1=CC(=C(C=C1Cl)Cl)C2=NC(=NC=C2C3=NC=CN3)NCCNC4=NC=C(C=C4)[N+](=O)[O-]	CHIR-98023
CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O	BIO-Acetoxime
CC(C1=NN=C2N1C=C(C=C2F)C3=CN(N=C3)C)N4C=CC5=NC=C(C=C5C4=O)OCCOC	AMG-337
CC(C1=CN2C=CN=C2C=C1)N3C4=NC(=CN=C4N=N3)C5=CN(N=C5)C	Savolitinib
CN1C=C(C=N1)C2=CN=C3C=CC4=C(C=C(C=C4)CS(=O)(=O)NCC5=CC=CC=N5)C(=O)C3=C2	MK-8033
C1CC1C(=O)NC2=NC=CC(=C2)OC3=C(C=C(C(=C3)F)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F)F	Altiratinib
CC1=C(C(=O)N(N1C)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C5C(=CNC5=NC=C4)C6=CC=CC=C6)F	NPS-1034
C1CC1C(=O)N2CC(C2)NC(=O)C3=CN=C(C4=C3C=CC(=N4)C5=CC(=CC=C5)F)N	GNE-495
CN1CCN(CC1)C(=O)C2=CC=C(S2)C3=CC4=C(C=C3)C(=C(C=C4)O)C=O	MKC3946
C1CC1C2=CC(=NN2)NC3=NC(=NC=C3)NC4=CC5=C(C=C4)N=CN5	APY29
C1COC(OC1)C2=C(C=CC3=C2OC(=O)C4=C3CCNC4)O	B I09
CNC(=O)CCC1=CC(=NN1C2=CC=C(C=C2)N3CCNCC3)C4=CC=C(C=C4)C5=CC=C(C=C5)C(F)(F)F	ILK-IN-2
CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC	Brigatinib
CC(C)C1=NOC(=C1)CNC2=NC(=CC(=N2)NC3=NNC(=C3)C4CC4)N5CCN(CC5)C	XL-228
CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6	Entrectinib
CC1=C(C(=NO1)C)C2=CC(=C(C=C2)C3=CC(=C(S3)NC(=O)N)C(=O)N)OC4CCNC4	AZD3264
